City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Kapoeta,SS,85.03,overcast clouds,4.7717,33.5903,Eastgate Hotel
8,Kapaa,US,79.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
9,Naze,JP,74.8,moderate rain,28.3667,129.4833,奄美ポートタワーホテル
11,Butaritari,KI,81.7,light rain,3.0707,172.7902,Isles Sunset Lodge
12,Goderich,CA,83.03,broken clouds,43.7501,-81.7165,Harmony Inn
18,Preeceville,CA,72.55,clear sky,51.95,-102.6677,Golden West Hotel
20,Atuona,PF,77.27,light rain,-9.8,-139.0333,Villa Enata
21,Tura,IN,74.34,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
25,Shalakusha,RU,70.38,broken clouds,62.2247,40.2539,
29,Mucurapo,TT,88.02,overcast clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
32,Hobyo,SO,77.86,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
33,Hohhot,CN,75.78,overcast clouds,40.8106,111.6522,Sheraton Hohhot Hotel
37,Sinnamary,GF,82.6,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
39,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
41,Nikolskoye,RU,72.39,overcast clouds,59.7035,30.7861,Tourist House - Sablino
42,Bubaque,GW,78.69,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
46,Fare,PF,80.35,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
48,Rikitea,PF,74.8,light rain,-23.1203,-134.9692,People ThankYou
49,Dombarovskiy,RU,78.6,scattered clouds,50.7587,59.5386,
55,Sao Joao Da Barra,BR,78.89,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
56,Korla,CN,79.48,clear sky,41.7597,86.1469,Gulisitan Hotel
57,Castro,BR,70.43,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
58,Verkhniy Rohachyk,UA,75.83,scattered clouds,47.2505,34.338,Верхний Рогачик Отделение №1
64,Kushima,JP,70.43,overcast clouds,31.4583,131.2333,Hanaoka
65,Xapuri,BR,88.18,scattered clouds,-10.6517,-68.5044,Pousada dos Chapurys
69,Mayumba,GA,74.14,overcast clouds,-3.432,10.6554,LIKWALE LODGE
70,Fortuna,US,88.41,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
72,Ucluelet,CA,77.38,clear sky,48.9329,-125.5528,Black Rock Oceanfront Resort
73,Isangel,VU,72.64,broken clouds,-19.55,169.2667,Tanna Lodge
75,Poum,NC,74.39,overcast clouds,-20.2333,164.0167,Gîte kajeon
76,Souillac,MU,73.36,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
78,Miguel Alves,BR,89.89,scattered clouds,-4.1656,-42.8953,PAIN POUSADA E RESTAURANTE
79,Bilgoraj,PL,71.65,overcast clouds,50.5411,22.722,Dodo
81,Saint-Paul,RE,73.49,clear sky,-21.0096,55.2707,Boucan Canot
82,Ajdabiya,LY,85.66,clear sky,30.7554,20.2263,Almadina Hotel
83,San Jose,US,83.77,few clouds,37.3394,-121.895,The Westin San Jose
84,Ducheng,CN,79.18,overcast clouds,23.2373,111.5317,Xinyongguang Hotel
85,Seoul,KR,74.77,broken clouds,37.5683,126.9778,롯데호텔 서울
88,Vao,NC,73.42,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
89,Hilo,US,80.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
90,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
92,Aleksandriyskaya,RU,79.43,broken clouds,44.2272,43.3453,
93,Kindu,CD,77.88,broken clouds,-2.95,25.95,Résidence Okanda
94,Saint Anthony,US,79.63,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
99,Luwuk,ID,76.08,scattered clouds,-0.9516,122.7875,Hotel Santika Luwuk
103,Sembe,CG,72.23,moderate rain,1.6481,14.5806,
105,Sabang,ID,82.94,scattered clouds,5.8933,95.3214,Hotel Citra
107,Guerrero Negro,MX,71.64,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
108,Tagusao,PH,80.24,light rain,9.1924,117.8141,Toledo
109,Sur,OM,85.66,clear sky,22.5667,59.5289,Sur Plaza Hotel
110,Dwarka,IN,84.38,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
111,Campbell River,CA,89.98,clear sky,50.0163,-125.2446,Ramada by Wyndham Campbell River
115,Narasannapeta,IN,82.6,few clouds,18.4167,84.05,G.lingaraju home
117,Along,IN,75.49,overcast clouds,28.1667,94.7667,Hotel West
118,Port Moresby,PG,74.53,scattered clouds,-9.4431,147.1797,Lamana Hotel
119,Konstanz,DE,79.23,overcast clouds,47.6603,9.1758,Hotel Gästehaus Centro
123,Vaini,TO,71.76,few clouds,-21.2,-175.2,Keleti Beach Resort
124,Maumere,ID,78.22,overcast clouds,-8.6199,122.2111,Sylvia Hotel
