City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Mataura,-46.1927,168.8643,40.48,94,100,12.06,NZ,overcast clouds
1,Duminichi,53.9345,35.1099,65.71,96,87,6.22,RU,heavy intensity rain
2,Punta Arenas,-53.15,-70.9167,48.31,53,75,10.36,CL,broken clouds
3,Ushuaia,-54.8,-68.3,47.86,57,0,4.61,AR,clear sky
4,Rawson,-43.3002,-65.1023,47.3,57,58,12.37,AR,broken clouds
5,Flinders,-34.5833,150.8552,48.25,72,45,6.89,AU,scattered clouds
6,Kapoeta,4.7717,33.5903,85.03,35,91,17.45,SS,overcast clouds
7,Hermanus,-34.4187,19.2345,57.79,70,87,18.59,ZA,overcast clouds
8,Kapaa,22.0752,-159.319,79.12,73,75,5.75,US,broken clouds
9,Naze,28.3667,129.4833,74.8,94,100,19.15,JP,moderate rain
10,New Norfolk,-42.7826,147.0587,41.72,84,26,2.62,AU,scattered clouds
11,Butaritari,3.0707,172.7902,81.7,77,100,13.42,KI,light rain
12,Goderich,43.7501,-81.7165,83.03,88,64,16.82,CA,broken clouds
13,Geraldton,-28.7667,114.6,63.01,77,90,11.5,AU,overcast clouds
14,Albany,42.6001,-73.9662,90.91,52,97,10.2,US,overcast clouds
15,Barrow,71.2906,-156.7887,46.42,81,1,18.41,US,clear sky
16,Tuktoyaktuk,69.4541,-133.0374,44.69,95,98,10.33,CA,light rain
17,Khatanga,71.9667,102.5,47.68,56,100,12.5,RU,overcast clouds
18,Preeceville,51.95,-102.6677,72.55,52,4,14.83,CA,clear sky
19,Suntar,62.1444,117.6319,61.12,88,98,6.31,RU,light rain
20,Atuona,-9.8,-139.0333,77.27,82,19,22.28,PF,light rain
21,Tura,25.5198,90.2201,74.34,95,83,5.03,IN,broken clouds
22,Ilulissat,69.2167,-51.1,42.82,87,90,8.05,GL,light rain
23,East London,-33.0153,27.9116,64.78,33,50,8.14,ZA,scattered clouds
24,Busselton,-33.65,115.3333,56.08,71,82,16.15,AU,broken clouds
25,Shalakusha,62.2247,40.2539,70.38,72,84,4.9,RU,broken clouds
26,Namibe,-15.1961,12.1522,68.97,73,13,10.2,AO,few clouds
