City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lyngseidet,NO,2021-06-25 22:34:23,69.5763,20.2189,46.49,86,53,1.32
1,Vrdy,CZ,2021-06-25 22:34:23,49.9215,15.4724,62.74,98,75,1.01
2,Vaini,TO,2021-06-25 22:34:24,-21.2,-175.2,73.56,78,20,11.5
3,East London,ZA,2021-06-25 22:34:24,-33.0153,27.9116,65.21,44,21,17.16
4,Ushuaia,AR,2021-06-25 22:34:24,-54.8,-68.3,37.06,81,40,23.02
5,Coquimbo,CL,2021-06-25 22:31:54,-29.9533,-71.3436,56.93,88,0,9.22
6,Korla,CN,2021-06-25 22:34:25,41.7597,86.1469,71.02,32,57,16.46
7,Xinmin,CN,2021-06-25 22:34:26,41.9908,122.8253,68.25,93,100,16.13
8,Agadez,NE,2021-06-25 22:34:27,19.75,10.25,88.61,16,30,2.33
9,Mehamn,NO,2021-06-25 22:34:28,71.0357,27.8492,46.27,89,45,20.4
10,Khatanga,RU,2021-06-25 22:34:28,71.9667,102.5,46.27,51,100,9.95
11,Iracoubo,GF,2021-06-25 22:34:29,5.4802,-53.2011,78.78,81,17,8.97
12,Busselton,AU,2021-06-25 22:34:30,-33.65,115.3333,46.04,78,51,10.94
13,Rikitea,PF,2021-06-25 22:34:30,-23.1203,-134.9692,74.26,74,11,3.53
14,Sechura,PE,2021-06-25 22:34:31,-5.5569,-80.8222,70.23,69,8,18.21
15,Atuona,PF,2021-06-25 22:33:11,-9.8,-139.0333,79.02,77,16,17.74
16,Sibolga,ID,2021-06-25 22:34:32,1.7427,98.7792,75.88,89,100,4.16
17,Pevek,RU,2021-06-25 22:34:32,69.7008,170.3133,34.56,80,37,1.54
18,Talnakh,RU,2021-06-25 22:34:33,69.4865,88.3972,43.18,67,100,22.5
19,Bluff,NZ,2021-06-25 22:34:34,-46.6,168.3333,47.8,93,82,8.59
20,Albany,US,2021-06-25 22:34:34,42.6001,-73.9662,79.45,52,100,7.34
21,Georgetown,MY,2021-06-25 22:34:36,5.4112,100.3354,79.9,93,20,0.0
22,Vila Velha,BR,2021-06-25 22:33:14,-20.3297,-40.2925,69.75,83,20,3.44
23,Dom Pedrito,BR,2021-06-25 22:34:37,-30.9828,-54.6731,50.63,83,64,6.17
24,Vardo,NO,2021-06-25 22:34:37,70.3705,31.1107,50.2,81,41,11.63
25,Matara,LK,2021-06-25 22:34:38,5.9485,80.5353,78.44,85,81,11.77
26,Ixtapa,MX,2021-06-25 22:34:38,20.7,-105.2,85.23,79,75,10.36
27,Yellowknife,CA,2021-06-25 22:31:16,62.456,-114.3525,73.92,43,20,9.22
28,Kieta,PG,2021-06-25 22:34:39,-6.2167,155.6333,83.25,72,41,4.74
29,Makokou,GA,2021-06-25 22:34:39,0.5738,12.8642,73.87,82,87,2.21
30,Ribeira Grande,PT,2021-06-25 22:34:41,38.5167,-28.7,68.36,80,68,9.98
31,Hermanus,ZA,2021-06-25 22:34:41,-34.4187,19.2345,57.79,76,39,24.9
32,Bejar,ES,2021-06-25 22:34:42,40.3864,-5.7634,62.74,49,77,5.59
33,Silver City,US,2021-06-25 22:34:42,32.7701,-108.2803,91.92,17,1,17.0
34,Cherskiy,RU,2021-06-25 22:34:43,68.75,161.3,62.82,29,23,6.85
35,Balkanabat,TM,2021-06-25 22:34:43,39.5108,54.3671,90.72,21,0,8.93
36,Puerto Ayora,EC,2021-06-25 22:31:13,-0.7393,-90.3518,78.76,94,68,8.01
37,Hargeysa,SO,2021-06-25 22:34:44,9.56,44.065,69.8,62,81,27.2
38,Khani,GE,2021-06-25 22:34:44,41.9563,42.9566,63.97,97,77,2.04
39,Hilo,US,2021-06-25 22:31:12,19.7297,-155.09,83.93,62,40,9.22
40,Yumen,CN,2021-06-25 22:34:45,40.2833,97.2,68.27,27,72,7.99
41,Hithadhoo,MV,2021-06-25 22:34:45,-0.6,73.0833,82.35,67,99,8.12
42,Victoria,HK,2021-06-25 22:32:23,22.2855,114.1577,81.95,96,94,1.01
43,Tuktoyaktuk,CA,2021-06-25 22:34:46,69.4541,-133.0374,48.2,81,75,24.16
44,Cabedelo,BR,2021-06-25 22:34:46,-6.9811,-34.8339,75.87,81,18,15.95
45,Birjand,IR,2021-06-25 22:34:47,32.8663,59.2211,70.27,24,0,9.22
46,Atambua,ID,2021-06-25 22:34:47,-9.1061,124.8925,73.98,83,28,4.23
47,Okhotsk,RU,2021-06-25 22:34:47,59.3833,143.3,62.78,60,71,5.91
48,Mataura,NZ,2021-06-25 22:34:48,-46.1927,168.8643,47.48,96,83,1.14
49,Noumea,NC,2021-06-25 22:34:48,-22.2763,166.4572,73.0,99,85,11.56
50,Longyearbyen,SJ,2021-06-25 22:34:49,78.2186,15.6401,34.65,93,94,2.24
51,Shimoda,JP,2021-06-25 22:34:49,34.6667,138.95,79.16,76,58,5.41
52,Punta Arenas,CL,2021-06-25 22:34:50,-53.15,-70.9167,35.71,75,20,13.8
53,Severo-Kurilsk,RU,2021-06-25 22:34:50,50.6789,156.125,44.33,97,100,5.14
54,Port Alfred,ZA,2021-06-25 22:34:51,-33.5906,26.891,59.04,58,8,13.6
55,Aktash,RU,2021-06-25 22:34:51,50.3,87.7333,35.06,88,100,1.05
56,Saint George,US,2021-06-25 22:34:52,37.1041,-113.5841,99.63,13,1,1.01
57,Avarua,CK,2021-06-25 22:34:53,-21.2078,-159.775,77.05,94,75,11.5
58,Beloha,MG,2021-06-25 22:34:54,-25.1667,45.05,61.14,80,3,3.4
59,Marawi,PH,2021-06-25 22:34:54,7.9986,124.2928,65.64,90,96,2.57
60,Alyangula,AU,2021-06-25 22:34:55,-13.8483,136.4192,71.47,88,90,5.75
61,Fortuna,US,2021-06-25 22:33:40,40.5982,-124.1573,68.86,79,20,14.97
62,Kapaa,US,2021-06-25 22:34:56,22.0752,-159.319,86.32,78,1,1.01
63,Iqaluit,CA,2021-06-25 22:34:56,63.7506,-68.5145,42.53,70,75,15.01
64,Usinsk,RU,2021-06-25 22:34:57,65.9939,57.5281,50.65,62,26,12.41
65,Khandyga,RU,2021-06-25 22:34:57,62.6667,135.6,72.57,48,50,3.58
66,Grindavik,IS,2021-06-25 22:34:58,63.8424,-22.4338,48.15,100,75,21.85
67,Port Elizabeth,ZA,2021-06-25 22:33:57,-33.918,25.5701,61.09,59,0,18.41
68,Margate,GB,2021-06-25 22:34:58,51.3813,1.3862,59.7,90,100,1.01
69,Tasiilaq,GL,2021-06-25 22:34:59,65.6145,-37.6368,57.36,54,0,11.95
70,Diapaga,BF,2021-06-25 22:35:00,12.0708,1.7889,81.36,56,60,0.36
71,Asau,RO,2021-06-25 22:35:00,46.4333,26.4,68.92,77,73,6.31
72,Buala,SB,2021-06-25 22:35:01,-8.145,159.5921,82.81,74,86,5.32
73,Dikson,RU,2021-06-25 22:35:03,73.5069,80.5464,31.6,92,56,7.92
74,Medea,DZ,2021-06-25 22:30:50,36.2642,2.7539,63.05,82,11,2.46
75,Alta Floresta,BR,2021-06-25 22:35:04,-9.8756,-56.0861,79.59,55,86,2.24
76,Alofi,NU,2021-06-25 22:35:04,-19.0595,-169.9187,76.89,73,61,20.71
77,Samarai,PG,2021-06-25 22:35:05,-10.6167,150.6667,79.2,81,100,4.16
78,Lebu,CL,2021-06-25 22:35:05,-37.6167,-73.65,47.32,71,12,11.16
79,Bilma,NE,2021-06-25 22:35:06,18.6853,12.9164,93.0,12,11,5.75
80,Dwarka,IN,2021-06-25 22:35:06,22.2394,68.9678,83.5,72,90,20.45
81,Richards Bay,ZA,2021-06-25 22:35:07,-28.783,32.0377,62.15,74,12,7.0
82,Kodiak,US,2021-06-25 22:35:07,57.79,-152.4072,54.91,67,40,18.41
83,Hermitage,US,2021-06-25 22:35:08,41.2334,-80.4487,81.25,62,90,1.99
84,Sao Filipe,CV,2021-06-25 22:35:09,14.8961,-24.4956,74.79,81,58,5.19
85,Butaritari,KI,2021-06-25 22:35:09,3.0707,172.7902,82.44,73,100,11.43
86,Nagato,JP,2021-06-25 22:35:09,34.3833,131.2,73.35,86,100,4.16
87,Sorong,ID,2021-06-25 22:35:10,-0.8833,131.25,78.49,85,100,4.99
88,Sitka,US,2021-06-25 22:35:10,57.0531,-135.33,55.29,88,90,18.41
89,Mar Del Plata,AR,2021-06-25 22:35:11,-38.0023,-57.5575,56.12,66,0,5.01
